DVM,LookupCHMIntegrationNotifications,Lookup for CHM Integration Notifications
Integration_Identifier-Notification_Type,From_Email,Email_Recipients,Email_Subject,Email_Body,Notification_Enabled
CHMEXCHANGERATESSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Exchange Rate Sync | Error,Exchange Rate Sync has been failed. Please check Integration log for more information.,Y
CHMEXCHANGERATESSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Exchange Rate Sync | Error,Exchange Rate Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMEXCHANGERATESSYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Exchange Rate Sync | Success,"Exchange Rate Sync has been completed successfully.<br><br><br>         <table style=""border-collapse: collapse;width: 100%;"">             <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td>                </tr>           <tr>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILED_RECORDS}</td>              </tr>         </table>",Y
CHMEXCHANGERATESSYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Exchange Rate Sync | Warning,Exchange Rate Sync has been completed but no data exists for processing.,Y
CHMDISTRIBUTORACCOUNTSYNCERPTOCH-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Distributor Account Sync |  Error,"Distributor account Sync has been failed. Please check Integration log for more information. <br><br><b style=""color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br><b style=""color:red"">JIRA Ticket Ref: &nbsp;</b><b><a href=""https://enphase.atlassian.net/browse/{P_TICKET_NUMBER}"" style=""text-decoration:none"">{P_TICKET_NUMBER}</a></b><br><br><br><b style=""color:red"">JIRA Status:&nbsp;</b>{P_TICKET_STATUS}<br><br>",Y
CHMDISTRIBUTORACCOUNTSYNCERPTOCH-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Distributor Account Sync |  Error,Distributor account Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMDISTRIBUTORACCOUNTSYNCERPTOCH-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Distributor Account Sync |  Success,"Distributor account Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMDISTRIBUTORACCOUNTSYNCERPTOCH-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Distributor Account Sync |  Warning,Distributor account Sync has been completed but no data exists for processing.,Y
CHMDISTRIBUTORSITESANDUSESSYNCER-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Distributor Sites and Site Uses Sync |  Error,"Distributor Sites and Site uses Sync has been failed. Please check Integration log for more information. <br><br><b style=""color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br><b style=""color:red"">JIRA Ticket Ref: &nbsp;</b><b><a href=""https://enphase.atlassian.net/browse/{P_TICKET_NUMBER}"" style=""text-decoration:none"">{P_TICKET_NUMBER}</a></b><br><br><br><b style=""color:red"">JIRA Status:&nbsp;</b>{P_TICKET_STATUS}<br><br>",Y
CHMDISTRIBUTORSITESANDUSESSYNCER-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Distributor Sites and Site Uses Sync |  Error,Distributor Sites and Site uses Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMDISTRIBUTORSITESANDUSESSYNCER-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Distributor Sites and Site Uses Sync |  Success,"Distributor Sites and Site uses Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
